Start time;End time;Organisation name ;Program title;Additional description;Instuctions or ideas for the hosts :) 
10.00;10.30;All;Community Village opens;;
13.00;13.30;LahtiSec;CyberQuiz;Challenge your skills at our exclusive Cybersecurity Quiz! This thrilling competition invites enthusiasts and professionals alike to demonstrate their expertise;
14.00;16.00;KuoSec ry;KuoSec Cyber Phish and Quiz;Think you know cybersecurity, Kuopio and Harald? Can you handle phishing? Prove it! Come and join us at our booth and take part in our phish and quiz. Because nothing says fun like debugging your brain in real time.;
14.00;14.30;SRAL / Radio amateurs;Homebrew radio demo session;We'll live demo some DIY radio hardware at SRAL booth, see you there!;
15.00;16.00;SRAL / Radio amateurs;DIY antenna workshop 3;Build and measure your own antenna (433 or 868 MHz). Free-of-charge, no prior knowledge required. 10 seats per workshop, book your seat in advance at SRAL booth. Organized in co-operation with Hacklab. ;
15.15;16.30;TurkuSec;Security Impress Karaoke;Think you can bluff your way through a security talk with zero prep? Now is your chance! At Security Impress Karaoke, you'll be handed a totally random, security-themed slide deck you’ve never seen before - and have just 3 minutes to present it like a pro. No experience? No problem. This is all about having fun, thinking fast, and impressing the crowd with your creativity (or chaos). Whether you're a seasoned hacker or just security-curious, come take the podium and let’s see what you’ve got! Sign up at TurkuSec booth or just show up!;
17.00;17.30;SRAL / Radio amateurs;Demo: Digital communication over amateur radio;See how amateur radio frequencies can be used for digital communication;
18.00;19.00;SRAL / Radio amateurs;DIY antenna workshop 4;Build and measure your own antenna (433 or 868 MHz). Free-of-charge, no prior knowledge required. 10 seats per workshop, book your seat in advance at SRAL booth. Organized in co-operation with Hacklab. ;
19.00;19.15;All;Community Village Stamp Hunt raffle;Meet the organisatinos, collect all stamps from Community Village and win a prize! ;
19.30;20.45;All;DJ sets;;
20.30;20.45;All;Community Village closes;;
