Organisation;Headline;Additional description
KuoSec Ry + Halko;Cyber Viking Battleship;Ready to test your wits and sink some ships in this attack/defense mini CTF? Drive into high stakes battle against your friend or a stranger in our Cyber Viking Battleship game and navigate the toughest cyber waters. Think fast. Strike smart. Stay afloat.
KuoSec Ry + Halko;Cyberstuff!;Come check out what cyberstuff Halko - Hacklab Kuopio has done! Come and learn about makerspace possibilities, and what cooperation between Hacklab - InfoSec looks like in Kuopio.
Skrolli;Retrogaming at Skrolli stand!;Skrolli, the Finnish computer culture magazine brings you some golden oldies to play with.
KymiSec Ry;Hacking Challenge at KymiSec Booth;"Code NN is a dynamic company specialising in the creation of custom-made software solutions to cater to the unique needs of its clients. Their flagship product, recently launched, is a sophisticated Orders application designed for seamless online order management. Could the company be slightly too dynamic? Can you determine the true form of the ""sophisticated"" Orders app. Are you Up to the task?"
PoroSec Ry;Puzzles, tabletop CTF, interactive challenge;PoroSec brings a series of interactive security challenges to the Disobey Community Village. Expect lightweight puzzles, hands-on thinking, and a few surprises — no laptop required, just curiosity and attention to detail. Solve challenges, earn exclusive swag, and unlock a bonus for those who dare to do it all.
Cyber Club Kotka;Hearts of Hugs;Give a hug or have a chat with friends old and new, and write your name on each others' cards! Once the heart has 20 names, you can show it to us and receive a unique Cyber Club x Disobey sticker while supplies last (first 100 per day).
HelSec Ry;Black Market Souvenirs;On Friday: Bring your own t-shirt, sweatshirt, totebag - whatever fabric that's more than 50% organic material, and create your very own unique HelSec x Disobey merch using various printing techniques. Note: The printing ink requires time to dry and we have drying space for the first 50 participants. You should pick up your merch early on Saturday. You will receive care and wash instructions for your merch upon picking up.
HelSec Ry;Cyber Range;On Saturday: Think the suits have it easy, golfing all day and drinking with clients all night? Come try what it’s like on the other side with our putting range! We might even have something to give out the best of the best.
Women4cyber Finland;Brain training games and temporary tattoos stickers;Visit the W4CFI booth for hands‑on brain‑training challenges and a chance to win our limited‑edition Disobey stickers. We’ll also be offering temporary tattoos for anyone who wants to wear a bit of cyber spirit home. Our volunteers will be on site throughout the event to chat, answer questions, and share how Women4Cyber Finland supports and strengthens the cybersecurity community. Come play, connect, and get to know us.
H-T8 Hacking Club;Claim You Know Hacking? Prove It;Think you’ve got hacker instincts? Step up and test them. Short CTF challenges, hidden clues, the kind even freshmen can crack on their phone. Break it apart, dig a little deeper, and see if you can catch what others miss. Each win earns you cred, maybe a sticker, maybe something more. There’s gear on the table too, tools you won’t find at your local store, and only a handful to go around, so be quick. Come find out and see how deep the rabbit hole goes.
SaimaaSec Ry;Meet SaimaaSec, Play Tekken 3!;Visit our desk to meet and greet out pack! Test your skills in LEGENDAY Tekken 3! 
SRAL / Radio amateurs;Amateur radio tech demos, DIY & SDR;Visit SRAL booth to explore homebrew radio hardware, software defined radio SDR and more. DIY is our theme this year.
Lockpicking Village;Locks, safes, picking, challenges and relaxing;Come sit down and relax or take part in picking locks open for fun! Professionals are also doing 1-on-1 teaching for beginners and other enthusiast, so no need for previous experience. Bring a drink, bring a friend, bring a cool little lock that you haven't been able to open or would like to have it opened, we love challenges and stories! There is an ongoing picking 'competition' going on for th eduration of the event, pick a lock and get your name on the board to advance to a harder lock and so on. We also have an RFID lock so that you can bring a FlipperZero to try copy the tag.
Hacklab.fi;Badge Hacking tools;Come to hack your badge or other small electronic things to our stand, basic electronic tools available
Hacklab.fi;Small soldering practice project;Do you like blinking leds? Come to our stand and learn basics of soldering. Limited amount of kits available, small material fee. Takes about an hour to complete
TurkuSec Ry;Hacking LLMs Challenge;Have you tried to social engineer your way around generative AI (GenAI) guardrails and made it do something it's not supposed to do? Hacking GenAI is hacking with natural language and a skill we all need to have. You're most welcome to come and try and meet us from TurkuSec
